x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,diff_height,_merge,grade
10.288066,14.045621,402,.060281754,.060281754,.087550119,.78539819,0,32.057301,50000,320.573,320,0,0,Matched (3),0
10.348348,14.105903,403,.060281754,.060281754,.087550119,.78539819,0,32.144852,50000,321.44852,321,0,0,Matched (3),0
10.408629,14.166184,404,.060281754,.060281754,.087550119,.78539819,0,32.232403,50000,322.32404,322,0,0,Matched (3),0
10.468911,14.226466,405,.060281754,.060281754,.087550119,.78539819,0,32.319954,50000,323.19952,323,0,0,Matched (3),0
10.529192,14.286748,406,.0602808,.060281754,.087549433,.78539026,-7.9274178e-06,32.407501,11043.878,324.07501,324,0,0,Matched (3),0
10.589474,14.34703,407,.060281754,.060281754,.087550119,.78539819,7.9274178e-06,32.495052,11043.964,324.95053,324,0,0,Matched (3),0
10.649755,14.40731,408,.060281754,.0602808,.087549433,.78540605,7.8678131e-06,32.5826,11127.544,325.82599,325,.013043479,.013043479,Matched (3),.14898416
10.710037,14.467592,409,.060281754,.060281754,.087550119,.78539819,-7.8678131e-06,32.670151,11127.631,326.70151,326,.013043479,0,Matched (3),0
10.770319,14.527874,410,.060281754,.060281754,.087550119,.78539819,0,32.757702,50000,327.57703,327,.013043479,0,Matched (3),0
10.830601,14.588156,411,.060281754,.060281754,.087550119,.78539819,0,32.845253,50000,328.45251,328,.013043479,0,Matched (3),0
10.890882,14.648438,412,.060281754,.060281754,.087550119,.78539819,0,32.9328,50000,329.328,329,.013043479,0,Matched (3),0
10.93107,14.688625,413,.040187836,.040187836,.058366749,.78539819,0,32.991169,50000,329.91168,329,.013043479,0,Matched (3),0
10.991351,14.748907,414,.0602808,.060281754,.087549433,.78539026,-7.9274178e-06,33.078716,11043.878,330.78717,330,0,-.013043479,Matched (3),-.14898416
11.051633,14.809189,415,.060281754,.060281754,.087550119,.78539819,7.9274178e-06,33.166267,11043.964,331.66266,331,0,0,Matched (3),0
11.111915,14.889565,416,.060281754,.080375671,.10317881,.6435011,-.14189708,33.269447,.7271384,332.69446,332,0,0,Matched (3),0
11.152102,14.929751,417,.040187836,.040186882,.058366057,.78541005,.14190894,33.327812,.41129231,333.27814,333,0,0,Matched (3),0
11.152102,14.990033,418,0,.060281754,.061907288,0,-.78541005,33.389721,.078821614,333.89722,333,0,0,Matched (3),0
11.212384,15.030221,419,.060281754,.040187836,.074403301,.98279375,.98279375,33.464123,.075705916,334.64124,334,0,0,Matched (3),0
11.232478,15.090503,420,.020093918,.060281754,.065256007,.32175055,-.66104317,33.529381,.098716706,335.29382,335,0,0,Matched (3),0
11.272666,15.130691,421,.040187836,.040187836,.058366749,.78539819,.46364763,33.587746,.12588601,335.87744,335,0,0,Matched (3),0
11.312854,15.211066,422,.040187836,.080375671,.092285939,.4636476,-.32175058,33.680031,.28682446,336.80029,336,0,0,Matched (3),0
11.353042,15.271348,423,.040187836,.060281754,.074403301,.58800262,.12435502,33.754436,.59831363,337.54437,337,0,0,Matched (3),0
11.393229,15.33163,424,.040187836,.060281754,.074403301,.58800262,0,33.828838,50000,338.28839,338,0,0,Matched (3),0
11.433417,15.391911,425,.040187836,.0602808,.074402481,.58800989,7.2717667e-06,33.90324,10231.692,339.03241,339,0,0,Matched (3),0
11.473605,15.452192,426,.040187836,.060281754,.074403301,.58800262,-7.2717667e-06,33.977646,10231.806,339.77646,339,0,0,Matched (3),0
11.513792,15.512474,427,.040186882,.060281754,.074402757,.58799165,-.000010967255,34.052048,6784.082,340.52048,340,0,0,Matched (3),0
11.55398,15.572756,428,.040187836,.060281754,.074403301,.58800262,.000010967255,34.12645,6784.1318,341.2645,341,0,0,Matched (3),0
11.574074,15.653131,429,.020093918,.080375671,.085083425,.24497867,-.34302396,34.211533,.24803931,342.11533,342,0,0,Matched (3),0
11.594168,15.713413,430,.020093918,.060281754,.065256007,.32175055,.076771885,34.276791,.84999877,342.76791,342,0,0,Matched (3),0
11.634356,15.773695,431,.040187836,.060281754,.074403301,.58800262,.26625207,34.351192,.27944684,343.51193,343,0,0,Matched (3),0
11.654449,15.833977,432,.020093918,.060281754,.065256007,.32175055,-.26625207,34.416451,.24509108,344.16449,344,0,0,Matched (3),0
11.674543,15.894258,433,.020093918,.0602808,.065255083,.32175529,4.7385693e-06,34.481705,13771.052,344.81705,344,0,0,Matched (3),0
11.694637,15.954539,434,.020093918,.060281754,.065256007,.32175055,-4.7385693e-06,34.546959,13771.247,345.4696,345,0,0,Matched (3),0
11.714731,16.034916,435,.020093918,.080376625,.085084379,.24497586,-.076774687,34.632046,1.1082348,346.32047,346,.013043479,.013043479,Matched (3),.15330051
11.754919,16.095198,436,.040187836,.060281754,.074403301,.58800262,.34302676,34.706448,.21690233,347.06448,347,.013043479,0,Matched (3),0
11.795107,16.175571,437,.040187836,.080373764,.09228418,.46365711,-.12434551,34.798733,.74215931,347.98734,347,.013043479,0,Matched (3),0
11.835295,16.235853,438,.040187836,.060281754,.074403301,.58800262,.12434551,34.873135,.59835935,348.73135,348,.026086958,.013043479,Matched (3),.1753078
11.855389,16.296135,439,.020093918,.060281754,.065256007,.32175055,-.26625207,34.938393,.24509108,349.38391,349,.039130434,.013043476,Matched (3),.19988161
11.875483,16.356417,440,.020093918,.060281754,.065256007,.32175055,0,35.003647,50000,350.03647,350,.039130434,0,Matched (3),0
11.91567,16.416698,441,.040187836,.060281754,.074403301,.58800262,.26625207,35.078053,.27944684,350.78052,350,.039130434,0,Matched (3),0
11.955858,16.47698,442,.040187836,.060281754,.074403301,.58800262,0,35.152454,50000,351.52454,351,.026086958,-.013043476,Matched (3),-.17530777
11.975951,16.517168,443,.020092964,.040187836,.046142526,.46362862,-.124374,35.198597,.37099817,351.98596,351,.026086958,-.013043476,Matched (3),-.28267798
11.935764,16.557356,444,-.040186882,.040187836,.058366057,-.78538632,-1.249015,35.256962,.046729669,352.56961,352,.026086958,0,Matched (3),0
11.895576,16.617638,445,-.040187836,.060281754,.074403301,-.58800262,.1973837,35.331367,.37694755,353.31366,353,.013043479,-.013043479,Matched (3),-.1753078
11.875483,16.657825,446,-.020093918,.040187836,.046142969,-.4636476,.12435502,35.37751,.37105837,353.77509,353,.013043479,-.013043479,Matched (3),-.28267533
11.835295,16.718107,447,-.040187836,.060281754,.074403301,-.58800262,-.12435502,35.451912,.59831363,354.5191,354,.013043479,0,Matched (3),0
11.795107,16.778389,448,-.040187836,.060281754,.074403301,-.58800262,0,35.526318,50000,355.26318,355,.013043479,0,Matched (3),0
11.754919,16.838671,449,-.040187836,.060281754,.074403301,-.58800262,0,35.600719,50000,356.0072,356,.013043479,0,Matched (3),0
11.714731,16.898952,450,-.040187836,.060281754,.074403301,-.58800262,0,35.675121,50000,356.75122,356,.013043479,0,Matched (3),0
11.674543,16.93914,451,-.040187836,.040187836,.058366749,-.78539819,-.19739556,35.73349,.29568419,357.3349,357,.026086958,.013043479,Matched (3),.22347449
11.634356,16.999422,452,-.040187836,.060281754,.074403301,-.58800262,.19739556,35.807892,.3769249,358.07892,358,.026086958,0,Matched (3),0
11.594168,17.059704,453,-.040187836,.060281754,.074403301,-.58800262,0,35.882298,50000,358.82297,358,.026086958,0,Matched (3),0
11.55398,17.119984,454,-.040187836,.060279846,.074401669,-.58801723,-.000014603138,35.956696,5094.9097,359.56696,359,.026086958,0,Matched (3),0
11.513792,17.160172,455,-.040187836,.040187836,.058366749,-.78539819,-.19738096,36.015064,.29570606,360.15063,360,.026086958,0,Master only (1),0
11.473605,17.220453,456,-.040186882,.060281754,.074402757,-.58799165,.19740653,36.089466,.37690118,360.89465,360,.026086958,0,Master only (1),0
11.413323,17.280735,457,-.060281754,.060281754,.087550119,-.78539819,-.19740653,36.177017,.44350162,361.77017,361,.026086958,0,Matched (3),0
11.373136,17.341017,458,-.040187836,.060281754,.074403301,-.58800262,.19739556,36.251419,.3769249,362.51419,362,.026086958,0,Matched (3),0
11.332948,17.401299,459,-.040187836,.060281754,.074403301,-.58800262,0,36.325825,50000,363.25824,363,.026086958,0,Matched (3),0
11.29276,17.46158,460,-.040187836,.060281754,.074403301,-.58800262,0,36.400227,50000,364.00226,364,.026086958,0,Matched (3),0
11.252572,17.521862,461,-.040187836,.060281754,.074403301,-.58800262,0,36.474628,50000,364.74628,364,.026086958,0,Matched (3),0
11.212384,17.582144,462,-.040187836,.060281754,.074403301,-.58800262,0,36.549034,50000,365.49036,365,.026086958,0,Matched (3),0
11.172196,17.622332,463,-.040187836,.040187836,.058366749,-.78539819,-.19739556,36.607399,.29568419,366.07397,366,.026086958,0,Matched (3),0
11.132009,17.682613,464,-.040187836,.060281754,.074403301,-.58800262,.19739556,36.681805,.3769249,366.81805,366,.026086958,0,Matched (3),0
11.091821,17.742895,465,-.040187836,.060281754,.074403301,-.58800262,0,36.756207,50000,367.56207,367,.026086958,0,Matched (3),0
11.051633,17.783083,466,-.040187836,.040187836,.058366749,-.78539819,-.19739556,36.814575,.29568419,368.14575,368,.026086958,0,Matched (3),0
11.011445,17.843365,467,-.040187836,.060281754,.074403301,-.58800262,.19739556,36.888977,.3769249,368.88977,368,.026086958,0,Matched (3),0
10.971258,17.903646,468,-.040186882,.060281754,.074402757,-.58799165,.000010967255,36.963379,6784.082,369.63379,369,.013043479,-.013043479,Matched (3),-.17530908
10.93107,17.963928,469,-.040187836,.060281754,.074403301,-.58800262,-.000010967255,37.037785,6784.1318,370.37784,370,.013043479,0,Matched (3),0
10.890882,18.02421,470,-.040187836,.060281754,.074403301,-.58800262,0,37.112186,50000,371.12186,371,.026086958,.013043479,Matched (3),.1753078
10.830601,18.08449,471,-.060281754,.060279846,.08754874,-.78541398,-.19741136,37.199734,.4434838,371.99734,371,.026086958,.013043479,Matched (3),.14898534
10.790413,18.144772,472,-.040187836,.060281754,.074403301,-.58800262,.19741136,37.274139,.37689474,372.74139,372,.026086958,0,Matched (3),0
10.750225,18.205053,473,-.040187836,.060281754,.074403301,-.58800262,0,37.348541,50000,373.48541,373,.026086958,0,Matched (3),0
10.689943,18.265335,474,-.060281754,.060281754,.087550119,-.78539819,-.19739556,37.436092,.44352627,374.36093,374,.026086958,0,Matched (3),0
10.629662,18.325617,475,-.060281754,.060281754,.087550119,-.78539819,0,37.523643,50000,375.23645,375,.026086958,0,Matched (3),0
10.589474,18.385899,476,-.040187836,.060281754,.074403301,-.58800262,.19739556,37.598045,.3769249,375.98047,375,.026086958,0,Matched (3),0
10.549286,18.44618,477,-.040187836,.060281754,.074403301,-.58800262,0,37.672447,50000,376.72449,376,.039130434,.013043476,Matched (3),.17530777
10.489005,18.506462,478,-.0602808,.060281754,.087549433,-.78539026,-.19738764,37.759998,.4435406,377.59998,377,.039130434,0,Matched (3),0
10.428723,18.566744,479,-.060281754,.060281754,.087550119,-.78539819,-7.9274178e-06,37.847549,11043.964,378.47549,378,.052173916,.013043482,Matched (3),.14898303
10.368442,18.627026,480,-.060281754,.060281754,.087550119,-.78539819,0,37.935097,50000,379.35095,379,.052173916,0,Matched (3),0
10.30816,18.667213,481,-.060281754,.040187836,.074403301,-.98279375,-.19739556,38.009502,.3769249,380.09503,380,.052173916,0,Matched (3),0
10.247878,18.707401,482,-.060281754,.040187836,.074403301,-.98279375,0,38.083904,50000,380.83905,380,.052173916,0,Matched (3),0
10.187596,18.767683,483,-.060281754,.060281754,.087550119,-.78539819,.19739556,38.171455,.44352627,381.71454,381,.052173916,0,Matched (3),0
10.127315,18.807871,484,-.060281754,.040187836,.074403301,-.98279375,-.19739556,38.245857,.3769249,382.45856,382,.052173916,0,Matched (3),0
10.067033,18.848059,485,-.060281754,.040187836,.074403301,-.98279375,0,38.320263,50000,383.20264,383,.052173916,0,Matched (3),0
9.9866581,18.90834,486,-.080374718,.060281754,.10317803,-.92728955,.055504203,38.423439,1.8589228,384.23438,384,.052173916,0,Matched (3),0
9.9263763,18.968622,487,-.060281754,.060281754,.087550119,-.78539819,.14189136,38.51099,.61702222,385.10989,385,.052173916,0,Matched (3),0
9.8460007,19.028904,488,-.080375671,.060281754,.10317881,-.92729521,-.14189702,38.61417,.7271387,386.14169,386,.052173916,0,Matched (3),0
